账号,内容,时间,转发数,评论数 
永恒的眷恋W,【#王凤雅案宣判后陈岚致歉#：未作核实便谴责凤雅妈妈】12月27日，@作家陈岚发布道歉声明称，在凤雅的救助案中，未作核实便发文谴责，侵犯了杨美芹女士名誉权，向对方道歉。12月2日，该案在上海闵行法院开庭宣判，判令陈岚向原告杨美芹赔礼道歉，同时需赔偿原告杨美芹精神损害抚慰金和律师费。@新京报我们视频L新京报我们视频的秒拍视频收起全文d,2019年12月28日 11:34, 转发 ,评论 
飞龙LQW,【#王凤雅案宣判后陈岚致歉#：未作核实便谴责凤雅妈妈】12月27日，@作家陈岚发布道歉声明称，在凤雅的救助案中，未作核实便发文谴责，侵犯了杨美芹女士名誉权，向对方道歉。12月2日，该案在上海闵行法院开庭宣判，判令陈岚向原告杨美芹赔礼道歉，同时需赔偿原告杨美芹精神损害抚慰金和律师费。@新京报我们视频L新京报我们视频的秒拍视频收起全文d,2019年12月28日 11:34, 转发 ,评论 
北京青年报,【“小凤雅案”宣判后陈岚道歉凤雅家属称对方赔偿款已打到法院】#小凤雅家属诉陈岚案一审宣判#12月2日下午，河南眼癌女童王凤雅家属起诉作家陈岚侵犯名誉权一案在上海市闵行区人民法院一审宣判。12月27日晚，陈岚在个人微博中发布了道歉声明并置顶。28日，记者联系到王凤雅的爷爷王太友，对方表示：已看到道歉信，赔偿款她已经打到法院，还未到自己手中。（北青报记者 郭琳琳 张香梅 视频编辑 郭茂勇）L青流视频的秒拍视频收起全文d,2019年12月28日 18:30, 转发 ,评论 7
北京头条,【“凤雅案”宣判后陈岚道歉凤雅家属称赔偿已打到法院 还未到自己手中】#小凤雅家属诉陈岚案一审宣判#12月2日下午，河南眼癌女童王凤雅家属起诉作家陈岚侵犯名誉权一案在上海市闵行区人民法院一审宣判。12月27日晚，陈岚在个人微博中发布了道歉声明并置顶。28日，记者联系到王凤雅的爷爷王太友，对方表示：已看到道歉信，赔偿款她已经打到法院，还未到自己手中。（北青报记者 郭琳琳 张香梅 ）L青流视频的秒拍视频收起全文d,2019年12月28日 18:30, 转发 4,评论 5
安庆望江公安华阳派出所,【#王凤雅案宣判后陈岚致歉#：未作核实便谴责凤雅妈妈】12月27日，@作家陈岚发布道歉声明称，在凤雅的救助案中，未作核实便发文谴责，侵犯了杨美芹女士名誉权，向对方道歉。12月2日，该案在上海闵行法院开庭宣判，判令陈岚向原告杨美芹赔礼道歉，同时需赔偿原告杨美芹精神损害抚慰金和律师费。@新京报我们视频L新京报我们视频的秒拍视频收起全文d,2019年12月28日 11:34, 转发 2,评论 2
青流视频,【“凤雅案”宣判后陈岚道歉凤雅家属称赔偿已打到法院 还未到自己手中】#小凤雅家属诉陈岚案一审宣判#12月2日下午，河南眼癌女童王凤雅家属起诉作家陈岚侵犯名誉权一案在上海市闵行区人民法院一审宣判。12月27日晚，陈岚在个人微博中发布了道歉声明并置顶。28日，记者联系到王凤雅的爷爷王太友，对方表示：已看到道歉信，赔偿款她已经打到法院，还未到自己手中。（北青报记者 郭琳琳 张香梅 编辑 郭茂勇）L青流视频的秒拍视频收起全文d,2019年12月28日 18:02, 转发 3,评论 2
一缕笑靥____,【#王凤雅案宣判后陈岚致歉#：未作核实便谴责凤雅妈妈】12月27日，@作家陈岚发布道歉声明称，在凤雅的救助案中，未作核实便发文谴责，侵犯了杨美芹女士名誉权，向对方道歉。12月2日，该案在上海闵行法院开庭宣判，判令陈岚向原告杨美芹赔礼道歉，同时需赔偿原告杨美芹精神损害抚慰金和律师费。@紧急呼叫L新京报我们视频的秒拍视频收起全文d,2019年12月28日 10:09, 转发 ,评论 
超级纠错逐行扫描,【#王凤雅案宣判后陈岚致歉#：未作核实便谴责凤雅妈妈】12月27日，@作家陈岚发布道歉声明称，在凤雅的救助案中，未作核实便发文谴责，侵犯了杨美芹女士名誉权，向对方道歉。12月2日，该案在上海闵行法院开庭宣判，判令陈岚向原告杨美芹赔礼道歉，同时需赔偿原告杨美芹精神损害抚慰金和律师费。@新京报我们视频L新京报我们视频的秒拍视频收起全文d,2019年12月28日 16:45, 转发 ,评论 
中金在线,【#王凤雅案宣判后陈岚致歉#：未作核实便谴责凤雅妈妈】12月27日，@作家陈岚发布道歉声明称，在凤雅的救助案中，未作核实便发文谴责，侵犯了杨美芹女士名誉权，向对方道歉。12月2日，该案在上海闵行法院开庭宣判，判令陈岚向原告杨美芹赔礼道歉，同时需赔偿原告杨美芹精神损害抚慰金和律师费。@新京报我们视频L新京报我们视频的秒拍视频收起全文d,2019年12月28日 16:45, 转发 1,评论 2
马仔-阿里,【#王凤雅案宣判后陈岚致歉#：未作核实便谴责凤雅妈妈】12月27日，@作家陈岚发布道歉声明称，在凤雅的救助案中，未作核实便发文谴责，侵犯了杨美芹女士名誉权，向对方道歉。12月2日，该案在上海闵行法院开庭宣判，判令陈岚向原告杨美芹赔礼道歉，同时需赔偿原告杨美芹精神损害抚慰金和律师费。@新京报我们视频L新京报我们视频的秒拍视频收起全文d,2019年12月28日 11:34, 转发 ,评论 
大头猫猫和小熊宝宝,【#王凤雅案宣判后陈岚致歉#：未作核实便谴责凤雅妈妈】12月27日，@作家陈岚发布道歉声明称，在凤雅的救助案中，未作核实便发文谴责，侵犯了杨美芹女士名誉权，向对方道歉。12月2日，该案在上海闵行法院开庭宣判，判令陈岚向原告杨美芹赔礼道歉，同时需赔偿原告杨美芹精神损害抚慰金和律师费。@紧急呼叫L新京报我们视频的秒拍视频收起全文d,2019年12月28日 13:41, 转发 ,评论 
戏老睿,【#王凤雅案宣判后陈岚致歉#：未作核实便谴责凤雅妈妈】12月27日，@作家陈岚发布道歉声明称，在凤雅的救助案中，未作核实便发文谴责，侵犯了杨美芹女士名誉权，向对方道歉。12月2日，该案在上海闵行法院开庭宣判，判令陈岚向原告杨美芹赔礼道歉，同时需赔偿原告杨美芹精神损害抚慰金和律师费。@紧急呼叫L新京报我们视频的秒拍视频收起全文d,2019年12月28日 13:41, 转发 ,评论 
坚持蚂蚁庄园饲养老公九百天,【#王凤雅案宣判后陈岚致歉#：未作核实便谴责凤雅妈妈】12月27日，@作家陈岚发布道歉声明称，在凤雅的救助案中，未作核实便发文谴责，侵犯了杨美芹女士名誉权，向对方道歉。12月2日，该案在上海闵行法院开庭宣判，判令陈岚向原告杨美芹赔礼道歉，同时需赔偿原告杨美芹精神损害抚慰金和律师费。@紧急呼叫L新京报我们视频的秒拍视频收起全文d,2019年12月28日 13:41, 转发 ,评论 
花影吹笙淡黄月,【#王凤雅案宣判后陈岚致歉#：未作核实便谴责凤雅妈妈】12月27日，@作家陈岚发布道歉声明称，在凤雅的救助案中，未作核实便发文谴责，侵犯了杨美芹女士名誉权，向对方道歉。12月2日，该案在上海闵行法院开庭宣判，判令陈岚向原告杨美芹赔礼道歉，同时需赔偿原告杨美芹精神损害抚慰金和律师费。@紧急呼叫L新京报我们视频的秒拍视频收起全文d,2019年12月28日 13:41, 转发 ,评论 
linklater_lbb杉,【#王凤雅案宣判后陈岚致歉#：未作核实便谴责凤雅妈妈】12月27日，@作家陈岚发布道歉声明称，在凤雅的救助案中，未作核实便发文谴责，侵犯了杨美芹女士名誉权，向对方道歉。12月2日，该案在上海闵行法院开庭宣判，判令陈岚向原告杨美芹赔礼道歉，同时需赔偿原告杨美芹精神损害抚慰金和律师费。@紧急呼叫L新京报我们视频的秒拍视频收起全文d,2019年12月28日 13:41, 转发 ,评论 
点燃我的是时光,【#王凤雅案宣判后陈岚致歉#：未作核实便谴责凤雅妈妈】12月27日，@作家陈岚发布道歉声明称，在凤雅的救助案中，未作核实便发文谴责，侵犯了杨美芹女士名誉权，向对方道歉。12月2日，该案在上海闵行法院开庭宣判，判令陈岚向原告杨美芹赔礼道歉，同时需赔偿原告杨美芹精神损害抚慰金和律师费。@紧急呼叫L新京报我们视频的秒拍视频收起全文d,2019年12月28日 13:41, 转发 ,评论 
Vista看天下,【#王凤雅案宣判后陈岚致歉#：未作核实便谴责凤雅妈妈】12月27日，@作家陈岚发布道歉声明称，在凤雅的救助案中，未作核实便发文谴责，侵犯了杨美芹女士名誉权，向对方道歉。12月2日，该案在上海闵行法院开庭宣判，判令陈岚向原告杨美芹赔礼道歉，同时需赔偿原告杨美芹精神损害抚慰金和律师费。@紧急呼叫L新京报我们视频的秒拍视频收起全文d,2019年12月28日 13:41, 转发 24,评论 45
宁嗣音Metatron_Devith,【#王凤雅案宣判作家陈岚致歉#：未作核实便谴责凤雅妈妈 向其道歉】27日晚，@作家陈岚，在其个人微博中发布道歉声明并置顶称，在凤雅的救助案中，未作核实便在微博发文谴责，言辞激烈，侵犯了杨美芹女士名誉权，她尊重法院判决，向对方道歉。12月2日，王凤雅家属诉陈岚名誉权纠纷案在上海闵行法院开庭宣判，判令陈岚通过新浪微博以置顶30日的方式，向原告杨美芹书面赔礼道歉，同时需赔偿原告杨美芹，精神损害抚慰金5000元和律师费5000元。L新京报我们视频的秒拍视频收起全文d,2019年12月28日 10:37, 转发 ,评论 
花下农666666,【#王凤雅案宣判后陈岚致歉#：未作核实便谴责凤雅妈妈】12月27日，@作家陈岚发布道歉声明称，在凤雅的救助案中，未作核实便发文谴责，侵犯了杨美芹女士名誉权，向对方道歉。12月2日，该案在上海闵行法院开庭宣判，判令陈岚向原告杨美芹赔礼道歉，同时需赔偿原告杨美芹精神损害抚慰金和律师费。@新京报我们视频L新京报我们视频的秒拍视频收起全文d,2019年12月28日 11:34, 转发 ,评论 
今日旅游播报,【王凤雅案宣判作家陈岚致歉：未作核实便谴责凤雅妈妈 向其道歉】27日晚，@作家陈岚，在其个人微博中发布道歉声明并置顶称，在凤雅的救助案中，未作核实便在微博发文谴责，言辞激烈，侵犯了杨美芹女士名誉权，她尊重法院判决，向对方道歉。12月2日，王凤雅家属诉陈岚名誉权纠纷案在上海闵行法院开庭宣判，判令陈岚通过新浪微博以置顶30日的方式，向原告杨美芹书面赔礼道歉，同时需赔偿原告杨美芹，精神损害抚慰金5000元和律师费5000元。L新京报我们视频的秒拍视频收起全文d,2019年12月28日 12:40, 转发 ,评论 
经济视野,【王凤雅案宣判作家陈岚致歉：未作核实便谴责凤雅妈妈 向其道歉】27日晚，@作家陈岚，在其个人微博中发布道歉声明并置顶称，在凤雅的救助案中，未作核实便在微博发文谴责，言辞激烈，侵犯了杨美芹女士名誉权，她尊重法院判决，向对方道歉。12月2日，王凤雅家属诉陈岚名誉权纠纷案在上海闵行法院开庭宣判，判令陈岚通过新浪微博以置顶30日的方式，向原告杨美芹书面赔礼道歉，同时需赔偿原告杨美芹，精神损害抚慰金5000元和律师费5000元。L新京报我们视频的秒拍视频收起全文d,2019年12月28日 12:40, 转发 ,评论 
屁话在线,【#王凤雅案宣判后陈岚致歉#：未作核实便谴责凤雅妈妈】12月27日，@作家陈岚发布道歉声明称，在凤雅的救助案中，未作核实便发文谴责，侵犯了杨美芹女士名誉权，向对方道歉。12月2日，该案在上海闵行法院开庭宣判，判令陈岚向原告杨美芹赔礼道歉，同时需赔偿原告杨美芹精神损害抚慰金和律师费。@新京报我们视频L新京报我们视频的秒拍视频收起全文d,2019年12月28日 11:34, 转发 ,评论 
清风雅乐-,【王凤雅案宣判作家陈岚致歉：未作核实便谴责凤雅妈妈 向其道歉】27日晚，@作家陈岚，在其个人微博中发布道歉声明并置顶称，在凤雅的救助案中，未作核实便在微博发文谴责，言辞激烈，侵犯了杨美芹女士名誉权，她尊重法院判决，向对方道歉。12月2日，王凤雅家属诉陈岚名誉权纠纷案在上海闵行法院开庭宣判，判令陈岚通过新浪微博以置顶30日的方式，向原告杨美芹书面赔礼道歉，同时需赔偿原告杨美芹，精神损害抚慰金5000元和律师费5000元。L新京报我们视频的秒拍视频收起全文d,2019年12月28日 12:40, 转发 ,评论 
中国经济网,【王凤雅案宣判作家陈岚致歉：未作核实便谴责凤雅妈妈 向其道歉】27日晚，@作家陈岚，在其个人微博中发布道歉声明并置顶称，在凤雅的救助案中，未作核实便在微博发文谴责，言辞激烈，侵犯了杨美芹女士名誉权，她尊重法院判决，向对方道歉。12月2日，王凤雅家属诉陈岚名誉权纠纷案在上海闵行法院开庭宣判，判令陈岚通过新浪微博以置顶30日的方式，向原告杨美芹书面赔礼道歉，同时需赔偿原告杨美芹，精神损害抚慰金5000元和律师费5000元。L新京报我们视频的秒拍视频收起全文d,2019年12月28日 12:40, 转发 3,评论 2
江北检察,【#王凤雅案宣判后陈岚致歉#：未作核实便谴责凤雅妈妈】12月27日，@作家陈岚发布道歉声明称，在凤雅的救助案中，未作核实便发文谴责，侵犯了杨美芹女士名誉权，向对方道歉。12月2日，该案在上海闵行法院开庭宣判，判令陈岚向原告杨美芹赔礼道歉，同时需赔偿原告杨美芹精神损害抚慰金和律师费。@新京报我们视频L新京报我们视频的秒拍视频收起全文d,2019年12月28日 12:37, 转发 ,评论 
火速头条,#火速头条#【#王凤雅案宣判后陈岚致歉#：未作核实便谴责凤雅妈妈】12月27日，@作家陈岚发布道歉声明称，在凤雅的救助案中，未作核实便发文谴责，侵犯了杨美芹女士名誉权，向对方道歉。12月2日，该案在上海闵行法院开庭宣判，判令陈岚向原告杨美芹赔礼道歉，同时需赔偿原告杨美芹精神损害抚慰金和律师费。@新京报我们视频L新京报我们视频的秒拍视频收起全文d,2019年12月28日 12:17, 转发 ,评论 
等你也等風_2020,【#王凤雅案宣判作家陈岚致歉#：未作核实便谴责凤雅妈妈 向其道歉】27日晚，@作家陈岚，在其个人微博中发布道歉声明并置顶称，在凤雅的救助案中，未作核实便在微博发文谴责，言辞激烈，侵犯了杨美芹女士名誉权，她尊重法院判决，向对方道歉。12月2日，王凤雅家属诉陈岚名誉权纠纷案在上海闵行法院开庭宣判，判令陈岚通过新浪微博以置顶30日的方式，向原告杨美芹书面赔礼道歉，同时需赔偿原告杨美芹，精神损害抚慰金5000元和律师费5000元。L新京报我们视频的秒拍视频收起全文d,2019年12月28日 10:37, 转发 ,评论 
Dearping,【#王凤雅案宣判后陈岚致歉#：未作核实便谴责凤雅妈妈】12月27日，@作家陈岚发布道歉声明称，在凤雅的救助案中，未作核实便发文谴责，侵犯了杨美芹女士名誉权，向对方道歉。12月2日，该案在上海闵行法院开庭宣判，判令陈岚向原告杨美芹赔礼道歉，同时需赔偿原告杨美芹精神损害抚慰金和律师费。@新京报我们视频L新京报我们视频的秒拍视频收起全文d,2019年12月28日 11:34, 转发 ,评论 
独白与双声,【#王凤雅案宣判后陈岚致歉#：未作核实便谴责凤雅妈妈】12月27日，@作家陈岚发布道歉声明称，在凤雅的救助案中，未作核实便发文谴责，侵犯了杨美芹女士名誉权，向对方道歉。12月2日，该案在上海闵行法院开庭宣判，判令陈岚向原告杨美芹赔礼道歉，同时需赔偿原告杨美芹精神损害抚慰金和律师费。@新京报我们视频L新京报我们视频的秒拍视频收起全文d,2019年12月28日 11:34, 转发 ,评论 
蒙蔽不了上天的眼,【#王凤雅案宣判作家陈岚致歉#：未作核实便谴责凤雅妈妈 向其道歉】27日晚，@作家陈岚，在其个人微博中发布道歉声明并置顶称，在凤雅的救助案中，未作核实便在微博发文谴责，言辞激烈，侵犯了杨美芹女士名誉权，她尊重法院判决，向对方道歉。12月2日，王凤雅家属诉陈岚名誉权纠纷案在上海闵行法院开庭宣判，判令陈岚通过新浪微博以置顶30日的方式，向原告杨美芹书面赔礼道歉，同时需赔偿原告杨美芹，精神损害抚慰金5000元和律师费5000元。L新京报我们视频的秒拍视频收起全文d,2019年12月28日 10:37, 转发 1,评论 
再次随意看看,【#王凤雅案宣判作家陈岚致歉#：未作核实便谴责凤雅妈妈 向其道歉】27日晚，@作家陈岚，在其个人微博中发布道歉声明并置顶称，在凤雅的救助案中，未作核实便在微博发文谴责，言辞激烈，侵犯了杨美芹女士名誉权，她尊重法院判决，向对方道歉。12月2日，王凤雅家属诉陈岚名誉权纠纷案在上海闵行法院开庭宣判，判令陈岚通过新浪微博以置顶30日的方式，向原告杨美芹书面赔礼道歉，同时需赔偿原告杨美芹，精神损害抚慰金5000元和律师费5000元。L新京报我们视频的秒拍视频收起全文d,2019年12月28日 10:37, 转发 ,评论 
壹993322018,【#王凤雅案宣判后陈岚致歉#：未作核实便谴责凤雅妈妈】12月27日，@作家陈岚发布道歉声明称，在凤雅的救助案中，未作核实便发文谴责，侵犯了杨美芹女士名誉权，向对方道歉。12月2日，该案在上海闵行法院开庭宣判，判令陈岚向原告杨美芹赔礼道歉，同时需赔偿原告杨美芹精神损害抚慰金和律师费。@新京报我们视频L新京报我们视频的秒拍视频收起全文d,2019年12月28日 11:34, 转发 ,评论 
过客地球,【#王凤雅案宣判后陈岚致歉#：未作核实便谴责凤雅妈妈】12月27日，@作家陈岚发布道歉声明称，在凤雅的救助案中，未作核实便发文谴责，侵犯了杨美芹女士名誉权，向对方道歉。12月2日，该案在上海闵行法院开庭宣判，判令陈岚向原告杨美芹赔礼道歉，同时需赔偿原告杨美芹精神损害抚慰金和律师费。@新京报我们视频L新京报我们视频的秒拍视频收起全文d,2019年12月28日 10:11, 转发 ,评论 
名城早报,【#王凤雅案宣判作家陈岚致歉#：未作核实便谴责凤雅妈妈 向其道歉】27日晚，@作家陈岚，在其个人微博中发布道歉声明并置顶称，在凤雅的救助案中，未作核实便在微博发文谴责，言辞激烈，侵犯了杨美芹女士名誉权，她尊重法院判决，向对方道歉。12月2日，王凤雅家属诉陈岚名誉权纠纷案在上海闵行法院开庭宣判，判令陈岚通过新浪微博以置顶30日的方式，向原告杨美芹书面赔礼道歉，同时需赔偿原告杨美芹，精神损害抚慰金5000元和律师费5000元。L新京报我们视频的秒拍视频收起全文d,2019年12月28日 11:49, 转发 ,评论 
墨隐和染久,【#王凤雅案宣判后陈岚致歉#：未作核实便谴责凤雅妈妈】12月27日，@作家陈岚发布道歉声明称，在凤雅的救助案中，未作核实便发文谴责，侵犯了杨美芹女士名誉权，向对方道歉。12月2日，该案在上海闵行法院开庭宣判，判令陈岚向原告杨美芹赔礼道歉，同时需赔偿原告杨美芹精神损害抚慰金和律师费。@新京报我们视频L新京报我们视频的秒拍视频收起全文d,2019年12月28日 11:34, 转发 ,评论 
水杉蓝蓝,【#王凤雅案宣判后陈岚致歉#：未作核实便谴责凤雅妈妈】12月27日，@作家陈岚发布道歉声明称，在凤雅的救助案中，未作核实便发文谴责，侵犯了杨美芹女士名誉权，向对方道歉。12月2日，该案在上海闵行法院开庭宣判，判令陈岚向原告杨美芹赔礼道歉，同时需赔偿原告杨美芹精神损害抚慰金和律师费。@新京报我们视频L新京报我们视频的秒拍视频收起全文d,2019年12月28日 11:34, 转发 ,评论 
系究x的区场_x,【#王凤雅案宣判后陈岚致歉#：未作核实便谴责凤雅妈妈】12月27日，@作家陈岚发布道歉声明称，在凤雅的救助案中，未作核实便发文谴责，侵犯了杨美芹女士名誉权，向对方道歉。12月2日，该案在上海闵行法院开庭宣判，判令陈岚向原告杨美芹赔礼道歉，同时需赔偿原告杨美芹精神损害抚慰金和律师费。@新京报我们视频L新京报我们视频的秒拍视频收起全文d,2019年12月28日 11:34, 转发 ,评论 
坚定限定版安哥拉兔,【#王凤雅案宣判后陈岚致歉#：未作核实便谴责凤雅妈妈】12月27日，@作家陈岚发布道歉声明称，在凤雅的救助案中，未作核实便发文谴责，侵犯了杨美芹女士名誉权，向对方道歉。12月2日，该案在上海闵行法院开庭宣判，判令陈岚向原告杨美芹赔礼道歉，同时需赔偿原告杨美芹精神损害抚慰金和律师费。@新京报我们视频L新京报我们视频的秒拍视频收起全文d,2019年12月28日 10:11, 转发 ,评论 
清丰县法院,【#王凤雅案宣判后陈岚致歉#：未作核实便谴责凤雅妈妈】#豫法速递#12月27日，@作家陈岚发布道歉声明称，在凤雅的救助案中，未作核实便发文谴责，侵犯了杨美芹女士名誉权，向对方道歉。12月2日，该案在上海闵行法院开庭宣判，判令陈岚向原告杨美芹赔礼道歉，同时需赔偿原告杨美芹精神损害抚慰金和律师费。L新京报我们视频的秒拍视频收起全文d,2019年12月28日 11:25, 转发 ,评论 
半只小猪,【#王凤雅案宣判后陈岚致歉#：未作核实便谴责凤雅妈妈】12月27日，@作家陈岚发布道歉声明称，在凤雅的救助案中，未作核实便发文谴责，侵犯了杨美芹女士名誉权，向对方道歉。12月2日，该案在上海闵行法院开庭宣判，判令陈岚向原告杨美芹赔礼道歉，同时需赔偿原告杨美芹精神损害抚慰金和律师费。@新京报我们视频L新京报我们视频的秒拍视频收起全文d,2019年12月28日 11:34, 转发 ,评论 
一点清风----,【#王凤雅案宣判后陈岚致歉#：未作核实便谴责凤雅妈妈】12月27日，@作家陈岚发布道歉声明称，在凤雅的救助案中，未作核实便发文谴责，侵犯了杨美芹女士名誉权，向对方道歉。12月2日，该案在上海闵行法院开庭宣判，判令陈岚向原告杨美芹赔礼道歉，同时需赔偿原告杨美芹精神损害抚慰金和律师费。@新京报我们视频L新京报我们视频的秒拍视频收起全文d,2019年12月28日 11:34, 转发 5,评论 1
烟雨楼百年孤独,【#王凤雅案宣判后陈岚致歉#：未作核实便谴责凤雅妈妈】12月27日，@作家陈岚发布道歉声明称，在凤雅的救助案中，未作核实便发文谴责，侵犯了杨美芹女士名誉权，向对方道歉。12月2日，该案在上海闵行法院开庭宣判，判令陈岚向原告杨美芹赔礼道歉，同时需赔偿原告杨美芹精神损害抚慰金和律师费。@新京报我们视频L新京报我们视频的秒拍视频收起全文d,2019年12月28日 11:36, 转发 ,评论 
充气榔头,【#王凤雅案宣判后陈岚致歉#：未作核实便谴责凤雅妈妈】12月27日，@作家陈岚发布道歉声明称，在凤雅的救助案中，未作核实便发文谴责，侵犯了杨美芹女士名誉权，向对方道歉。12月2日，该案在上海闵行法院开庭宣判，判令陈岚向原告杨美芹赔礼道歉，同时需赔偿原告杨美芹精神损害抚慰金和律师费。@新京报我们视频L新京报我们视频的秒拍视频收起全文d,2019年12月28日 11:34, 转发 ,评论 
许熙悉72314652,【#王凤雅案宣判后陈岚致歉#：未作核实便谴责凤雅妈妈】12月27日，@作家陈岚发布道歉声明称，在凤雅的救助案中，未作核实便发文谴责，侵犯了杨美芹女士名誉权，向对方道歉。12月2日，该案在上海闵行法院开庭宣判，判令陈岚向原告杨美芹赔礼道歉，同时需赔偿原告杨美芹精神损害抚慰金和律师费。@紧急呼叫L新京报我们视频的秒拍视频收起全文d,2019年12月28日 10:09, 转发 ,评论 
中国新闻周刊,【#王凤雅案宣判后陈岚致歉#：未作核实便谴责凤雅妈妈】12月27日，@作家陈岚发布道歉声明称，在凤雅的救助案中，未作核实便发文谴责，侵犯了杨美芹女士名誉权，向对方道歉。12月2日，该案在上海闵行法院开庭宣判，判令陈岚向原告杨美芹赔礼道歉，同时需赔偿原告杨美芹精神损害抚慰金和律师费。@新京报我们视频L新京报我们视频的秒拍视频收起全文d,2019年12月28日 11:34, 转发 21,评论 18
原谅我不会说谎,【#王凤雅案宣判作家陈岚致歉#：未作核实便谴责凤雅妈妈 向其道歉】27日晚，@作家陈岚，在其个人微博中发布道歉声明并置顶称，在凤雅的救助案中，未作核实便在微博发文谴责，言辞激烈，侵犯了杨美芹女士名誉权，她尊重法院判决，向对方道歉。12月2日，王凤雅家属诉陈岚名誉权纠纷案在上海闵行法院开庭宣判，判令陈岚通过新浪微博以置顶30日的方式，向原告杨美芹书面赔礼道歉，同时需赔偿原告杨美芹，精神损害抚慰金5000元和律师费5000元。L新京报我们视频的秒拍视频收起全文d,2019年12月28日 10:37, 转发 ,评论 
行僧不远行,【#王凤雅案宣判作家陈岚致歉#：未作核实便谴责凤雅妈妈 向其道歉】27日晚，@作家陈岚，在其个人微博中发布道歉声明并置顶称，在凤雅的救助案中，未作核实便在微博发文谴责，言辞激烈，侵犯了杨美芹女士名誉权，她尊重法院判决，向对方道歉。12月2日，王凤雅家属诉陈岚名誉权纠纷案在上海闵行法院开庭宣判，判令陈岚通过新浪微博以置顶30日的方式，向原告杨美芹书面赔礼道歉，同时需赔偿原告杨美芹，精神损害抚慰金5000元和律师费5000元。L新京报我们视频的秒拍视频收起全文d,2019年12月28日 10:37, 转发 ,评论 
中原盾,【#王凤雅案宣判后陈岚致歉#：未作核实便谴责凤雅妈妈】#豫法速递#12月27日，@作家陈岚发布道歉声明称，在凤雅的救助案中，未作核实便发文谴责，侵犯了杨美芹女士名誉权，向对方道歉。12月2日，该案在上海闵行法院开庭宣判，判令陈岚向原告杨美芹赔礼道歉，同时需赔偿原告杨美芹精神损害抚慰金和律师费。L新京报我们视频的秒拍视频收起全文d,2019年12月28日 11:25, 转发 2,评论 
河之源一毛衣加工厂商,【#王凤雅案宣判作家陈岚致歉#：未作核实便谴责凤雅妈妈 向其道歉】27日晚，@作家陈岚，在其个人微博中发布道歉声明并置顶称，在凤雅的救助案中，未作核实便在微博发文谴责，言辞激烈，侵犯了杨美芹女士名誉权，她尊重法院判决，向对方道歉。12月2日，王凤雅家属诉陈岚名誉权纠纷案在上海闵行法院开庭宣判，判令陈岚通过新浪微博以置顶30日的方式，向原告杨美芹书面赔礼道歉，同时需赔偿原告杨美芹，精神损害抚慰金5000元和律师费5000元。L新京报我们视频的秒拍视频收起全文d,2019年12月28日 10:37, 转发 ,评论 
文老湿的不正常日常,【#王凤雅案宣判作家陈岚致歉#：未作核实便谴责凤雅妈妈 向其道歉】27日晚，@作家陈岚，在其个人微博中发布道歉声明并置顶称，在凤雅的救助案中，未作核实便在微博发文谴责，言辞激烈，侵犯了杨美芹女士名誉权，她尊重法院判决，向对方道歉。12月2日，王凤雅家属诉陈岚名誉权纠纷案在上海闵行法院开庭宣判，判令陈岚通过新浪微博以置顶30日的方式，向原告杨美芹书面赔礼道歉，同时需赔偿原告杨美芹，精神损害抚慰金5000元和律师费5000元。L新京报我们视频的秒拍视频收起全文d,2019年12月28日 10:37, 转发 ,评论 
难望著枕边呵欠,【#王凤雅案宣判后陈岚致歉#：未作核实便谴责凤雅妈妈】12月27日，@作家陈岚发布道歉声明称，在凤雅的救助案中，未作核实便发文谴责，侵犯了杨美芹女士名誉权，向对方道歉。12月2日，该案在上海闵行法院开庭宣判，判令陈岚向原告杨美芹赔礼道歉，同时需赔偿原告杨美芹精神损害抚慰金和律师费。@紧急呼叫L新京报我们视频的秒拍视频收起全文d,2019年12月28日 10:09, 转发 ,评论 
mier小米,#作家陈岚就小凤雅事件道歉#一审判决结果出来后，王凤雅的爷爷王太友告诉对陈岚败诉这一结果比较满意，虽原诉请13万元赔偿金只被判赔1万，但与律师商议后不准备上诉。12月2日，该案一审宣判，法院认定陈岚名誉侵权，判决其在新浪微博上向王凤雅的母亲杨美芹书面赔礼道歉，赔偿其精神损害抚慰金5000元、律师费5000元。收起全文d,2019年12月28日 11:08, 转发 ,评论 2
茫茫Alice,【#王凤雅案宣判作家陈岚致歉#：未作核实便谴责凤雅妈妈 向其道歉】27日晚，@作家陈岚，在其个人微博中发布道歉声明并置顶称，在凤雅的救助案中，未作核实便在微博发文谴责，言辞激烈，侵犯了杨美芹女士名誉权，她尊重法院判决，向对方道歉。12月2日，王凤雅家属诉陈岚名誉权纠纷案在上海闵行法院开庭宣判，判令陈岚通过新浪微博以置顶30日的方式，向原告杨美芹书面赔礼道歉，同时需赔偿原告杨美芹，精神损害抚慰金5000元和律师费5000元。L新京报我们视频的秒拍视频收起全文d,2019年12月28日 10:37, 转发 ,评论 
